# downsampled from the solver's force-coefficient history
# iteration	Cl	Cd
1	2.334407453	0.8899458341
51	0.04816341667	0.07760978569
101	0.8993380998	0.02569894901
151	1.098465694	0.008303472377
201	1.128496973	0.004390961018
251	1.133692013	0.003681809818
301	1.13419803	0.003561983193
351	1.134013349	0.00353862352
401	1.133841935	0.003534047373
451	1.133740813	0.003533002156
501	1.133686941	0.003532664355
551	1.133656743	0.003532274943
601	1.133640693	0.003532034684
651	1.133631903	0.003531915005
701	1.133627078	0.003531843615
751	1.133624414	0.00353181695
801	1.133623012	0.00353180216
851	1.133622212	0.003531801684
901	1.133621538	0.003531763159
951	1.133621239	0.003531809823
1001	1.133620965	0.003531758224
1051	1.133620802	0.003531793805
1101	1.133620798	0.003531798665
1151	1.133620643	0.003531760191
1201	1.133620649	0.003531803575
1251	1.133620631	0.003531754893
1301	1.133620553	0.003531790021
1351	1.133620634	0.003531773842
1401	1.133620527	0.003531756167
1451	1.133620629	0.003531812412
1501	1.133620567	0.003531747262
1551	1.133620569	0.003531794335
1601	1.13362064	0.003531795917
1651	1.133620538	0.003531771696
1701	1.133620631	0.003531806528
1751	1.133620548	0.003531752705
1801	1.133620565	0.003531792271
1851	1.133620616	0.0035317737
1901	1.133620517	0.003531767031
1951	1.133620633	0.003531801476
2001	1.133620526	0.003531747097
2051	1.133620603	0.003531813133
2101	1.133620607	0.003531764551
2151	1.133620545	0.003531782815
2201	1.133620627	0.00353180221
2251	1.133620533	0.003531748071
2301	1.133620593	0.003531808303
2351	1.133620564	0.00353175918
2401	1.13362054	0.003531784651
2451	1.133620624	0.003531793337
2501	1.13362051	0.003531751145
2551	1.133620621	0.003531810753
2601	1.133620559	0.003531746637
2651	1.13362059	0.003531802787
2701	1.13362062	0.003531775398
2751	1.133620529	0.003531768904
2801	1.133620628	0.003531812168
2851	1.133620566	0.003531760167
2901	1.133620551	0.003531797868
2951	1.133620616	0.00353178253
3000	1.133620523	0.003531771258
