# downsampled from the solver's force-coefficient history
# iteration	Cl	Cd
1	9.595712369	3.601350922
51	0.7729392305	0.04741032148
101	0.9039130688	0.02735659403
151	0.9436774149	0.02008401708
201	0.9654209346	0.01856900613
251	0.9925802732	0.01740274408
301	1.016067695	0.01619934299
351	1.035580547	0.0154895017
401	1.051986569	0.01473713396
451	1.064781116	0.01413670567
501	1.074754799	0.01369054606
551	1.082379694	0.01332132898
601	1.08792921	0.01301639572
651	1.091820189	0.01277833655
701	1.0944956	0.01260209183
751	1.096402144	0.01248887591
801	1.097809573	0.0124136595
851	1.098884564	0.0123598103
901	1.09968468	0.0123144766
951	1.100237682	0.01227165167
1001	1.100557289	0.01223138414
1051	1.100704643	0.01220009104
1101	1.100744144	0.01217885929
1151	1.100731937	0.01216590305
1201	1.100708069	0.01215874361
1251	1.10067967	0.01215355285
1301	1.100661546	0.01214888799
1351	1.100635451	0.01214321489
1401	1.100595766	0.01213677251
1451	1.100555383	0.01213117794
1501	1.100493966	0.01212534191
1551	1.100437638	0.01212106168
1601	1.10037398	0.01211712173
1651	1.100322432	0.0121144088
1701	1.100260249	0.01211094611
1751	1.100212039	0.01210828109
1801	1.100167086	0.01210565287
1851	1.100116601	0.01210271159
1901	1.100063744	0.01209958296
1951	1.100019636	0.01209711644
2001	1.099975667	0.01209476522
2051	1.099933806	0.01209262059
2101	1.099893861	0.01209057106
2151	1.099856912	0.01208871447
2201	1.099821944	0.01208688937
2251	1.099784328	0.0120849223
2301	1.099748086	0.01208299335
2351	1.099714258	0.01208118635
2401	1.099682381	0.01207957712
2451	1.099652331	0.0120780812
2501	1.099624661	0.01207662213
2551	1.099597076	0.01207521378
2601	1.099568915	0.01207366963
2651	1.099542623	0.01207224794
2701	1.099518128	0.01207088139
2751	1.09949399	0.01206943097
2801	1.099470669	0.01206816587
2851	1.099447294	0.01206683228
2901	1.099425113	0.01206567408
2951	1.099404687	0.01206453631
3001	1.099383158	0.01206338269
3051	1.099365514	0.01206249896
3101	1.099344335	0.01206150435
3151	1.099325392	0.01206061576
3201	1.099308786	0.01205977533
3251	1.099292985	0.01205889349
3301	1.099279053	0.01205808936
3351	1.099262413	0.0120571054
3401	1.099246495	0.01205619804
3451	1.099229637	0.01205526824
3501	1.099219966	0.01205485003
3551	1.099205688	0.01205406911
3601	1.099191727	0.01205329305
3651	1.099178206	0.01205250889
3701	1.099164845	0.01205175706
3751	1.099156589	0.01205135173
3801	1.099144478	0.01205067554
3851	1.099132661	0.01205003035
3901	1.099121261	0.01204941463
3951	1.099109808	0.01204874821
4001	1.099102743	0.01204840298
4051	1.099092629	0.01204783809
4101	1.099082614	0.01204727803
4151	1.099072997	0.01204674943
4201	1.099063372	0.0120462198
4251	1.09905735	0.0120459099
4301	1.099049182	0.01204542664
4351	1.099040603	0.01204491983
4401	1.099032226	0.01204443263
4451	1.099024034	0.01204396493
4501	1.099018085	0.01204365735
4551	1.09901147	0.01204330891
4601	1.099004258	0.01204291002
4651	1.098997256	0.01204250559
4701	1.098990558	0.01204210307
4751	1.098984917	0.01204178254
4801	1.098979317	0.01204145584
4851	1.098973391	0.01204111015
4901	1.098967544	0.01204079005
4951	1.098961994	0.01204047942
5001	1.098956906	0.01204018149
5051	1.098951869	0.01203986647
5101	1.09894677	0.01203956662
5151	1.098941807	0.01203926941
5201	1.098937122	0.01203900217
5251	1.098932632	0.01203875189
5301	1.098928305	0.01203852085
5351	1.098924015	0.01203826322
5401	1.098919898	0.01203800814
5451	1.098916	0.01203777661
5501	1.098912223	0.01203755133
5551	1.098908465	0.01203731289
5601	1.098904941	0.01203708297
5651	1.098901882	0.01203690564
5701	1.09889885	0.01203670357
5751	1.098895696	0.01203648076
5801	1.098892452	0.01203625664
5851	1.098889264	0.01203606607
5901	1.098886161	0.01203588326
5951	1.098882915	0.01203565431
6001	1.098880316	0.01203558012
6051	1.098877465	0.01203542293
6101	1.098874696	0.01203525621
6151	1.098871981	0.01203506931
6201	1.098869256	0.01203489006
6251	1.098866579	0.01203470286
6301	1.098864059	0.01203454109
6351	1.098861486	0.01203436254
6401	1.098858995	0.01203420679
6451	1.098856691	0.0120340591
6501	1.098854343	0.01203388516
6551	1.098852088	0.01203372213
6601	1.098850024	0.01203359324
6651	1.098848085	0.01203341907
6701	1.098846228	0.01203333864
6751	1.098844349	0.01203320733
6801	1.098842988	0.01203318569
6851	1.098841386	0.01203309347
6888	1.098832506	0.01203080662
