id,title,year,url,abstract,triage_score,matches_known_d01_anchor,screening_status,provenance
doi:10.1088/1361-6501/ad915f,Blade tip clearance measurement method based on blade tip timing without the once per revolution sensor,2024,https://doi.org/10.1088/1361-6501/ad915f,"Abstract
               The rotor blade tip clearance (BTC) of an aeroengine is a critical parameter that significantly impacts its performance and safety. Accurately determining dynamic BTC has been a focal point of research in experimental testing. Among the effective measurement methods for dynamic BTC, the laser triangulation method based on blade tip timing (BTT) stands out. However, this method typically relies on an once-per-revolution (OPR) sensor for rotor speed and blade serial number information during measurement, leading to increased installation and maintenance costs as well as additional measurement uncertainties. In response to this challenge, this paper presents two signal processing method that eliminate the need for an OPR sensor. The first method, referred to as ‘none OPR method 1,’ closely follows the measurement principles of the traditional method but employs a skewed dual light probe (SDLP) signal to extract rotational speed information, thus obviating the need for an OPR sensor. The second method, ‘none OPR method 2,’ introduces a novel data processing approach that enables BTC determination without any source of rotor speed information. Both methods utilize dynamic and static BTC matching techniques to identify blade serial numbers and achieve BTC measurement without an OPR sensor on a simulated rotor experimental bench. Comparative analysis with traditional method BTC measurements reveals that, under stable rotor speeds, all methods achieve similar ",7,False,UNSCREENED,"[{""abstract_available"": true, ""db"": ""crossref"", ""query"": ""tip clearance optical capacitive measurement fan blade"", ""rank"": 11, ""source_id"": ""doi:10.1088/1361-6501/ad915f""}]"
doi:10.1088/1742-6596/2428/1/012032,Research on Tip Clearance Measurement Technology of Aero-engine Blade Based on Optical Fiber Sensing System,2023,https://doi.org/10.1088/1742-6596/2428/1/012032,"Abstract
               A novel non-contact detecting method of aero-engine blade tip clearance based on an optical fiber sensing system is presented. To eliminate the sensor measurement error caused by the slight change of the reflectivity value of the mechanical end face when the light source angle fluctuates and rotates, a three-coil coaxial fiber bundle sensor is proposed. Relevant experimental results show that the system has the advantages of high measurement sensitivity, small sensing probe volume, strong electromagnetic interference resistance, and high reliability. The application of this technology provides an effective method for dynamic radial gap detection of high-speed rotating machinery.",7,False,UNSCREENED,"[{""abstract_available"": true, ""db"": ""crossref"", ""query"": ""tip clearance optical capacitive measurement fan blade"", ""rank"": 38, ""source_id"": ""doi:10.1088/1742-6596/2428/1/012032""}]"
doi:10.1088/1742-6596/2820/1/012030,Feasibility verification of a vertically foldable propeller,2024,https://doi.org/10.1088/1742-6596/2820/1/012030,"Abstract
               This study designs a vertically folding paddle to reduce the lateral dimensions of the hollow-wheeled multi-rotor flying vehicle, minimize the impact of the paddles on the carrying platform, and enhance its capacity to maneuver through tight places when walking on the ground. Force analysis is used with the rotor’s known kinematic characteristics to determine the paddle blade’s efficiency at various throttle settings. To confirm the design’s viability, a test platform is constructed, the motion data of the vertically folding paddle is recorded, and the effectiveness of the two paddles is examined.",7,False,UNSCREENED,"[{""abstract_available"": true, ""db"": ""crossref"", ""query"": ""foldable duct propeller rotor"", ""rank"": 14, ""source_id"": ""doi:10.1088/1742-6596/2820/1/012030""}]"
doi:10.1115/1.2777187,Optimized Shroud Design for Axial Turbine Aerodynamic Performance,2008,https://doi.org/10.1115/1.2777187,"This paper presents a comprehensive study of the effect of shroud design in axial turbine aerodynamics. Experimental measurements and numerical simulations have been conducted on three different test cases with identical blade geometry and tip clearances but different shroud designs. The first and second test cases are representative of a full shroud and a nonaxisymmetric partial shroud geometry while the third test case uses an optimized partial shroud. Partial shrouds are sometimes used in industrial application in order to benefit from the advantage of shrouded configuration, as well as reduce mechanical stress on the blades. However, the optimal compromise between mechanical considerations and aerodynamic performances is still an open issue due to the resulting highly three-dimensional unsteady flow field. Aerodynamic performance is measured in a low-speed axial turbine facility and shows that there are clear differences between the test cases. In addition, steady and time resolved measurements are performed together with computational analysis in order to improve the understanding of the effect of the shroud geometry on the flow field and to quantify the sources of the resultant additional losses. The flow field analysis shows that the effect of the shroud geometry is significant from 60% blade height span to the tip. Tip leakage vortex in the first rotor is originated in the partial shroud test cases while the full shroud case presents only a weak indigenous tip passage",7,False,UNSCREENED,"[{""abstract_available"": true, ""db"": ""crossref"", ""query"": ""segmented shroud rotor duct seam aerodynamic"", ""rank"": 30, ""source_id"": ""doi:10.1115/1.2777187""}]"
doi:10.1115/1.2814098,A Blade-by-Blade Tip Clearance Measurement System for Gas Turbine Applications,1995,https://doi.org/10.1115/1.2814098,"It is difficult to make a reliable measurement of running clearance in the hostile environment over the blading of a modern gas turbine. When engine manufacturers require the measurement to be made over every blade during live engine tests, system reliability, ruggedness, and ease of operation are of primary importance. This paper describes a tip clearance measurement system that can measure clearance over every blade around a rotor. The measurement system concept is presented, and the system design described in detail. Commissioning of the measurement system on a compressor test facility, and the results obtained are discussed. An analysis of system performance during the commissioning trials concludes the paper.",7,False,UNSCREENED,"[{""abstract_available"": true, ""db"": ""crossref"", ""query"": ""tip clearance optical capacitive measurement fan blade"", ""rank"": 28, ""source_id"": ""doi:10.1115/1.2814098""}]"
doi:10.1115/1.4023469,Tip Clearance Investigation of a Ducted Fan Used in VTOL Unmanned Aerial Vehicles—Part II: Novel Treatments Via Computational Design and Their Experimental Verification,2013,https://doi.org/10.1115/1.4023469,"Ducted fan based vertical lift systems are excellent candidates to be in the group of the next generation vertical lift vehicles, with many potential applications in general aviation and military missions. Although ducted fans provide high performance in many “vertical take-off and landing” (VTOL) applications, there are still unresolved problems associated with these systems. Fan rotor tip leakage flow adversely affects the general aerodynamic performance of ducted fan VTOL unmanned aerial vehicles (UAVs). The current study utilized a three-dimensional Reynolds-averaged Navier–Stokes (RANS) based computational fluid dynamics (CFD) model of ducted fan for the development and design analysis of novel tip treatments. Various tip leakage mitigation schemes were introduced by varying the chordwise location and the width of the extension in the circumferential direction. Reduced tip clearance related flow interactions were essential in improving the energy efficiency and range of ducted fan based vehicles. Full and inclined pressure side tip squealers were also designed. Squealer tips were effective in changing the overall trajectory of the tip vortex to a higher path in radial direction. The interaction of rotor blades and tip vortex was effectively reduced and the aerodynamic performance of the rotor blades was improved. The overall aerodynamic gain was a measurable reduction in leakage mass flow rate. This leakage reduction increased thrust significantly. Experimental measureme",7,False,UNSCREENED,"[{""abstract_available"": true, ""db"": ""crossref"", ""query"": ""ducted fan non-uniform tip clearance experimental"", ""rank"": 4, ""source_id"": ""doi:10.1115/1.4023469""}, {""abstract_available"": true, ""db"": ""crossref"", ""query"": ""ducted fan tip clearance ovality"", ""rank"": 6, ""source_id"": ""doi:10.1115/1.4023469""}]"
doi:10.1115/89-gt-82,Effects of Tip Clearance of Nozzle Vanes on Performance of Radial Turbine Rotor,1989,https://doi.org/10.1115/89-gt-82,"In radial turbines with variable nozzles, the flow downstream of the nozzles could be distorted by the leakage flow through the tip-clearance of the upstream nozzle vanes. To investigate the effects of flow distortion on the performance of turbine rotors, two rotors with different number of blades were tested for three types of distorted velocity distributions at the rotor inlet. In the case of the 20 blade rotor with moderate blade loading, the flow distortion at the rotor inlet had negligible effect on the rotor characteristics, and the measured data on the turbine performances agreed well with a prediction. Predictions were made with a conventional one-dimensional flow model applied to the rotor flow while a two-layer flow model was applied to the flow in the nozzle with clearance. In the case of the 10 blade rotor with heavy blade loading, however, the rotor performance was found to be sensitive to the inlet flow distortion and was considerably lower than the prediction.",7,False,UNSCREENED,"[{""abstract_available"": true, ""db"": ""crossref"", ""query"": ""non-axisymmetric tip clearance rotor performance"", ""rank"": 12, ""source_id"": ""doi:10.1115/89-gt-82""}]"
doi:10.1115/94-gt-040,A Blade by Blade Tip Clearance Measurement System for Gas Turbine Applications,1994,https://doi.org/10.1115/94-gt-040,"It is difficult to make a reliable measurement of running clearance in the hostile environment over the blading of a modern gas turbine. When engine manufacturers require the measurement to be made over every blade during live engine tests, system reliability, ruggedness and ease of operation are of primary importance.
               This paper describes a tip clearance measurement system that can measure clearance over every blade around a rotor. The measurement system concept is presented, and the system design described in detail. Commissioning of the measurement system on a compressor test facility, and the results obtained are discussed. An analysis of system performance during the commissioning trials concludes the paper.",7,False,UNSCREENED,"[{""abstract_available"": true, ""db"": ""crossref"", ""query"": ""tip clearance optical capacitive measurement fan blade"", ""rank"": 31, ""source_id"": ""doi:10.1115/94-gt-040""}]"
doi:10.1115/gt2011-46359,Tip Clearance Investigation of a Ducted Fan Used in VTOL UAVS: Part 2—Novel Treatments via Computational Design and Their Experimental Verification,2011,https://doi.org/10.1115/gt2011-46359,"Ducted fan based vertical lift systems are excellent candidates to be in the group of the next generation vertical lift vehicles, with many potential applications in general aviation and military missions. Although ducted fans provide high performance in many “Vertical Take-Off and Landing” (VTOL) applications, there are still unresolved problems associated with these systems. Fan rotor tip leakage flow adversely affects the general aerodynamic performance of ducted fan VTOL UAVs. The current study utilized a three dimensional Reynolds-Averaged Navier Stokes (RANS) based CFD model of ducted fan for the development and design analysis of novel tip treatments. Various tip leakage mitigation schemes were introduced by varying the chordwise location and the width of the extension in the circumferential direction. Reduced tip clearance related flow interactions were essential in improving the energy efficiency and range of ducted fan based vehicles. Full and inclined pressure side tip squealers were also designed. Squealer tips were effective in changing the overall trajectory of the tip vortex to a higher path in radial direction. The interaction of rotor blades and tip vortex was effectively reduced and the aerodynamic performance of the rotor blades was improved. The overall aerodynamic gain was a measurable reduction in leakage mass flow rate. This leakage reduction increased thrust significantly. Experimental measurements indicated that full and inclined pressure side tip squ",7,False,UNSCREENED,"[{""abstract_available"": true, ""db"": ""crossref"", ""query"": ""ducted fan non-uniform tip clearance experimental"", ""rank"": 3, ""source_id"": ""doi:10.1115/gt2011-46359""}, {""abstract_available"": true, ""db"": ""crossref"", ""query"": ""ducted fan tip clearance ovality"", ""rank"": 5, ""source_id"": ""doi:10.1115/gt2011-46359""}]"
doi:10.1115/gt2018-76837,Non-Uniform Tip Clearance Effects on Turbocharger Compressor Performance,2018,https://doi.org/10.1115/gt2018-76837,"In most turbocharger compressors, diffusers a re designed with contractions along the passage mainly for delaying surge. The width ratio parameter, B, which defines the diffuser inlet width to diameter ratio significantly affects the losses in the diffuser. Changes to tip clearance, for example, due to the impeller rubbing the shroud casing changes the fluid flow angle at the impeller exit. The sensitivity of the absolute flow angle to the width ratio parameter has a significant influence on diffuser effectiveness and stage performance. This paper reports an investigation of tip clearance sensitivity to vaneless diffuser and stage performance of a turbocharger compressor. To assess the correlation between performance parameters and the tip clearance, Design of Experiments (DoE) was used to sample 40 design cases by changing the clearance at the leading (LE) and trailing edges (TE) of the impeller. Parameters correlation was subsequently used to determine their relationship. The key findings were that stage efficiency and pressure ratio increased linearly with decreasing LE and TE clearances having a maximum sensitivity value R = 0.7. Diffuser Cp showed a strong positive correlation for TE and a weak negative correlation for LE. Similarly, work input and diffuser loss coefficient showed an inverse relation to diffuser Cp with a maximum R value of 0.9. It was concluded that increasing the tip clearance at TE improves the diffuser effectiveness. The main source of low diffuser C",7,False,UNSCREENED,"[{""abstract_available"": true, ""db"": ""crossref"", ""query"": ""ducted fan non-uniform tip clearance experimental"", ""rank"": 11, ""source_id"": ""doi:10.1115/gt2018-76837""}, {""abstract_available"": true, ""db"": ""crossref"", ""query"": ""non-axisymmetric tip clearance rotor performance"", ""rank"": 35, ""source_id"": ""doi:10.1115/gt2018-76837""}]"
doi:10.1115/imece2016-66509,Numerical Investigation of Effects of Non-Uniform Tip Clearance on Flow Field Inside a Turbine Cascade,2016,https://doi.org/10.1115/imece2016-66509,"In the unshrouded axial turbine, the tip clearances can result in the loss of turbine efficiency and the penalty of turbine performance. Therefore, investigating the blade tip geometry of improving the turbine performance has a great significance. This paper is to study the effects of non-uniform tip clearance on the flow field in a turbine cascade. The numerical works are performed at the incidence angle of 0 degree and the exit Reynolds number of 1.7 × 105 based on the blade chord. In the investigations, the flat tip (Basic) geometry was employed as a benchmark, and three different tip geometries, including the pressure side squealer (PSQ), suction side squealer (SSQ) and grooved tip (Grooved), were studied. The tip clearances are all specified as 1.18% of the chord. The squealer height is set to 2.94% of the chord. The endwall static pressure, tip leakage loss, flow capacity and the development of tip leakage vortex are discussed. And the numerical results show that the grooved tip which can obtain the least total pressure loss, is helpful to smooth the pressure change from pressure side to suction side and suppress the intensity of tip leakage vortex. The tip clearance flow in the pre semi-passage is mainly involved in the passage vortex, and in the post semi-passage it is added to the tip leakage vortex. Compared with the Basic, PSQ and SSQ tips, the Grooved tip contributes to reducing the tip leakage flow and the tip leakage loss. And the leakage flow can be strengthene",7,False,UNSCREENED,"[{""abstract_available"": true, ""db"": ""crossref"", ""query"": ""ducted fan non-uniform tip clearance experimental"", ""rank"": 14, ""source_id"": ""doi:10.1115/imece2016-66509""}]"
doi:10.1117/12.903907,Turbine blade tip clearance measurements using skewed dual optical beams of tip timing,2011,https://doi.org/10.1117/12.903907,,7,False,UNSCREENED,"[{""abstract_available"": false, ""db"": ""crossref"", ""query"": ""tip clearance optical capacitive measurement fan blade"", ""rank"": 32, ""source_id"": ""doi:10.1117/12.903907""}]"
doi:10.2139/ssrn.6535738,Mechanisms of Critical Tip Clearance on Aerodynamic and Aeroacoustic Performance of Electric Ducted Fan Propulsor,2026,https://doi.org/10.2139/ssrn.6535738,"The tip clearance (TC) between the rotor blade and duct wall is inevitable for electric ducted fans (EDFs). This paper employs Large Eddy Simulation (LES) combined with the Ffowcs Williams-Hawkings (FW-H) acoustic analogy to explore the effects of varying TCs on the aerodynamic and aeroacoustic performance of an EDF. We find that the critical TCs for aerodynamic and aeroacoustic performance are 1% and 3% of the chord length of blade tip, respectively. Interestingly, zero clearance below the critical value yields a 2.8% decrease in total thrust, a 2.9% decrease in isentropic efficiency and a 2.9 dB rise in average overall sound pressure level (OASPL). The essential mechanism is that the critical TC emerges primarily from the evolution of tip-region vortex structures. Reducing TC effectively suppresses the tip leakage vortex (TLV), mitigates flow mixing and turbulent dissipation in the tip region, thus improving aerodynamic performance and reducing noise radiation. However, when TC is smaller than the critical value, the rotor tip-duct wall boundary layer interaction is intensified. Subsequently, it induces the formation of a tip trailing-edge vortex (TTEV) and causes tip flow blockage, lip acceleration zone contraction, and separation zone expansion. This ultimately degrades aerodynamic performance and increases broadband noise. This study demonstrates that the critical TC arises from the trade-off between two competing effects: the beneficial suppression of tip leakage flow, ",7,False,UNSCREENED,"[{""abstract_available"": true, ""db"": ""crossref"", ""query"": ""ducted fan non-uniform tip clearance experimental"", ""rank"": 5, ""source_id"": ""doi:10.2139/ssrn.6535738""}, {""abstract_available"": true, ""db"": ""crossref"", ""query"": ""ducted fan tip clearance ovality"", ""rank"": 1, ""source_id"": ""doi:10.2139/ssrn.6535738""}]"
doi:10.3389/fphy.2022.1036485,Dynamic and high-speed measurement system for blade tip clearance of engine with optical comb,2022,https://doi.org/10.3389/fphy.2022.1036485,"For blade tip clearance measurement, the optical measurement method has the characteristics of high precision, anti-electromagnetic interference, and non-contact measurement. A dynamic and high-speed blade tip clearance measurement system based on time stretch dispersive Fourier transform with the optical comb is proposed and demonstrated. The dynamic experiments are designed to verify the accuracy of the system. The results show that the measuring speed is up to 17.6 MHz and the measurement errors are less than 1 μm under dynamic conditions. The experiments prove that the system has the advantages of high measurement accuracy, high speed, and good repeatability. It can provide a new tool for engine health monitoring.",7,False,UNSCREENED,"[{""abstract_available"": true, ""db"": ""crossref"", ""query"": ""tip clearance optical capacitive measurement fan blade"", ""rank"": 29, ""source_id"": ""doi:10.3389/fphy.2022.1036485""}]"
doi:10.3390/s24185938,Numerical Investigation on the Influence of Turbine Rotor Parameters on the Eddy Current Sensor for the Dynamic Blade Tip Clearance Measurement,2024,https://doi.org/10.3390/s24185938,,7,False,UNSCREENED,"[{""abstract_available"": false, ""db"": ""openalex"", ""query"": ""tip clearance optical capacitive measurement fan blade"", ""rank"": 14, ""source_id"": ""doi:10.3390/s24185938""}, {""abstract_available"": false, ""db"": ""openalex"", ""query"": ""non-axisymmetric tip clearance rotor performance"", ""rank"": 26, ""source_id"": ""doi:10.3390/s24185938""}]"
